She is Miss Brown	Ona je gđica Braun
She is Mrs. Bond	Ona je gospođa Bond
He is Mr. Miller	On je g. Miller
Miss Brown is rich	Gospođica Braun je bogata
Mr. Miller is poor	Gospodin Miler je siromah
Good morning	dobro jutro
Ha has a short pencil	On ima kratku pisaljku
He has a hard hat	On ima tvrd šešir
soft and hard	meko i tvrdo
hard and soft	tvrdo i meko
Miss Brown is a lady	Gospođica Braun je dama
Mr. Miller is a gentleman	Gospodin Miler je džentlmen
She is a little lady	Ona je mala dama
He is a tall gentleman	On je visok džentlmen
I speak English	Ja govorim engleski
I read English	Ja čitam engleski
You speak French	Vi pričate francuski
You read French	Vi čitate francuski
He speaks English	On govori engleski
She reads French	Ona čita francuski
I have a little book	Ja imam malu knjigu
I have a big book	Ja imam veliku knjigu
I have a little pencil	Ja imam malu pisaljku
I have a black pencil	Ja imam crnu pisaljku
She has a red hat	Ona ima crven šešir
She has a little hat	Ona ima mali šešir
He has a green book	On ima zelenu knjigu
She has a French book	ona ima francusku knjigu
You have a blue pencil	Vi imate plavu olovku
very good	vrlo dobro
All right	sve u redu
