Hallo Miller. How are you?	Zdravo Milere. Kako si?	l9
Very well, thank you. And how are you?	Veoma dobro, hvala ti. A kako si ti?	l9
Who is that?	Ko je to?	l9
That is Miss Brown.	To je gospođica Braun.	l9
And who is she?	A ko je ona?	l9
She is a lady.	Ona je dama.	l9
Is she beautiful?	Jel ona lepa?	l9
Yes, she is. She is very beautiful.	Da, ona jeste. Ona je veoma lepa.	l9
Is she rich?	Jel ona bogata?	l9
Yes, she is rich also.	Da, ona je takođe bogata.	l9
Has she a house in this street?	Ima li ona kuću u ovoj ulici?	l9
o, she has not.	o, ona nema.	l9
Does she like books?<div>Yes, she does.</div>	Voli li ona knjige?<div>Da, ona voli.</div>	l9
Does she like green hats?<div>No, she does not. She likes blue hats.</div>	Da li ona voli zelene šešire?<div>Ne, ona ne voli. Ova voli plave šešire.</div>	l9
Do you like green hats?<div>No, I don't.</div>	Da li ti voliš zelene šešire?<div>Ne, ja ne volim.</div>	l9
Do you like <b>a</b> green hat?	Da li voliš zeleni šešir?	l9
I like big parks.	Ja volim velike parkove.	l9
I write long letters.	Ja pišem duga pisma.	l9
I read French letters.	Ja čitam francuska pisma.	l9
I like small dogs.	Ja volim male pse.	l9
Look, I have a pen.<div>It is a new pen.</div>	Gledaj, imam pero/penkalo.<div>To je novo pero/penkalo.</div>	l9
It is very nice.	Ono je veoma lepo.	l9
It is cheap.	Ono je jeftino.	l9
And it is strong.	I ono je jako.	l9
Is it good?	Je li dobro?	l9
Yes, it is. It writes very well.	Da, jeste. Ono piše veoma dobro.	l9
No, it is not. It does not write very well.	Ne, nije. Ono ne piše veoma dobro.	l9
It is a fine pen.	To je fina olovka.	l9
It is fine today.	Danas je fino. (vreme)	l9
It is really.	Zaista jeste.	l9
Is she fat?	Jel ona debela?	l9
No, she is thin.	Ne, ona je mršava.	l9
Is the pen strong?<div>Yes, it is.</div><div>No, it is weak.</div>	Da li je pero jako?<div>Da, jeste.</div><div>Ne, ono je slabo.</div>	l9
Do you like tea?<div>Yes, I do.</div>	Da li voliš čaj?<div>Da, volim.</div>	l9
Do you drink milk?<div>No, I don't.</div>	Piješ li mleko?<div>Ne, ne pijem.</div>	l9
Have you five friends?<div>I have six.</div>	Imaš li pet prijatelja?<div>Imam šest.</div>	l9
The child is good.	Dete je dobro.	l9
It is strong, and it is beautiful.	Ono je jako, i ono je lepo.	l9
It is not weak, and it is not thin.	Ono nije slabo, i ono nije mršavo.	l9
