Good morning. I am Mr. Miller.	Dobro jutro. Ja sam gospodin Miler.
Good morning. I am Miss Brown.	Dobro jutro. Ja sam gospođica Braun.
You are Miss Brown.	Vi ste gospođica Braun.
Yes, I am.	Da, jesam.
No, I am not.	Ne, nisam.
Are you Miss Brown?	Jeste li vi gospođica Braun?
Am I tall?	Jesam li visok?
Yes, You are tall.	Da, vi ste visoki.
Am I?	Jesam li?
Are you?	Jesi li?
I am glad.	Milo mi je.
No, you are not. You are fat.	Ne, nisi. Ti si debeo.
I am sorry.	Žao mi je.
I have an English paper.	Imam engleske novine.
I read and write French.	Ja čitam i pišem francuski.
Good-bye, Mr. Miller.	Do viđenja, gospodine Miler.
Good-bye, Miss Brown.	Do viđenja, gospođice Braun.
Good morning	Dobro jutro
Miss Brown reads English	Gospođa Braun čita engleski
Mr. Miller speaks French	Gospodin Miler govori francuski
I read English	Ja čitam engleski
You speak French	Ti pričaš francuski
I have a red book	Ja imam crvenu knjigu
She has a short pencil	Ona ima kratku pisaljku
She has a green hat	Ona ima zeleni šešir
You have a hard pencil	Ti imaš tvrdu olovku
He is tall	On je visok
He is poor	On je siroma'
He is a gentleman	On je džentlman
She is little	Ona je mala
She is rich	Ona je bogata
She is a lady	Ona je dama
